url,user,caption,hashtags
https://www.instagram.com/p/DI6MVXFhh24/,echo_vtg,"#에코빈티지구매 ₩ 45,000 -size 가슴 38 총장 48  꾸레쥬 화이트 원숄더 컨디션 좋아요 :)  😺실측사이즈는 1~3cm 오차가 있을 수 있습니다 😺실측사이즈 잘 모르시면 편하게 문의 주세요  구매 전 공지 꼭 확인부탁드립니다 🙏자세한 내용은 메세지로 문의해주세요 1일  #빈티지#폴로#빈티지샵#의류쇼핑몰#vintage#쇼핑#좋반#옷가게#ootd#남녀공용#맞팔#좋아요#팔로우#코디 1일답글 달기 1일 전","['#에코빈티지구매', '#빈티지', '#폴로', '#빈티지샵', '#의류쇼핑몰', '#vintage', '#쇼핑', '#좋반', '#옷가게', '#ootd', '#남녀공용', '#맞팔', '#좋아요', '#팔로우', '#코디']"
https://www.instagram.com/p/DGy-Gj0BCu2/,lamorevincera,평안을 너희에게 끼치노니 곧 나의 평안을 너희에게 주노라 내가 너희에게 주는 것은 세상이 주는 것 같지 아니하니라 너희는 마음에 근심도 말고 두려워하지도 말라 (‭‭‭요한복음‬ ‭14‬‬:‭27‬ ‭KRV‬‬) 7주 leedongha.07 🔥👏 4주답글 달기 robby_kartawinata God bless U 🙏 5주답글 달기 _black__chef_ 😍😍😍😍😍 6주답글 달기 birth_day2534 😍 6주답글 달기 binpol0707 👏 6주답글 달기 ihsanullahsadat20 Very lovely ❤️❤️ 6주답글 달기 catty_in_the_wonderland 아멘 🙏 6주답글 달기 hades_4 😍😍😍 6주답글 달기 sodo3434 👏👏 힘힘!! 내자구욧 🙌🙌🙌 6주답글 달기 taehun8191 우와 7주답글 달기 3월 5일,[]
https://www.instagram.com/p/DIkqzT8hKrw/,porter_kr,") 매장이 있다는 사실, 알고 계셨나요? 🗣️  바로 방문했습니다. 일본 여행에서 방문할 정도로 매력적인 포터이기에, 직접 확인해서 소개하고 싶었습니다. 🎹  녹사평역과 이태원역 중간에 위치한 매장은 외관부터 시선을 사로잡았습니다. 봄 날씨에 활짝 핀 벚꽃이 분위기를 더욱 살려주고 있었죠. 💆🏻‍♀️  매장 내부는 분명 지금까지 가본 포터 매장들 중에서 가장 쾌적했습니다. 벽과 진열장에는 수많은 제품들이 진열되어 있었는데요. ✍🏻  품절 대란을 일으켰던 뉴에라 협업 키링부터 처음 보는 향기 나는 포터 가방, 팔라스 협업 스케이트보드 데크와 판매는 하지 않지만 구경하는 재미를 더해준 북 커버까지. 📖  슬라이드를 넘겨 포터 서울 이태원점의 모습을 확인하고, 이번 주말 이태원에 간다면 꼭 한번 방문해 보세요. 📸  📍녹사평대로 168-10 1주 bbobbi__love 한남점도 그대로 운영중인가요? 4일답글 달기 tak_190113 헐 등잔밑이 어둡다고 동네에 있는줄 몰랐어요 5일답글 달기 yoonntto @u__c2 오 가보자 5일답글 달기 akuwoni @gt700p1u3 갈래 5일답글 달기 bongnim.kkkkk @mcgraw_bang 5일답글 달기 kimbbol_ @yunjji39 요기 고!ㅋㅋㅋ 6일답글 달기 cosmo.family_farm @yoon._.22 1주답글 달기 4월 18일",[]
https://www.instagram.com/p/DI6OH5Szlbx/,earp_earp,"님 여러 명이 좋아합니다 whozit.azit 어프어프 에폭시 신상 폰케이스 출시! 아이폰은 물론 갤럭시 유저들까지 모두 만족시킬 귀염뽀짝한 디자인입니다,,, ෆ  블루에이드, 푸딩, 복숭아, 식빵, 오므라이스, 롤케이크 등 사랑스러운 디저트를 모티브로하여 제작되었다는... 비하인드마저 큐티한 신상입니다₍ᐢ. ̯.ᐢ₎  올 여름 어프어프의 신상 폰케이스로 시작하는 것은 어떨까요?  @ 23시간 soozip.a 너무 귀엽☘️ 2시간좋아요 1개답글 달기 whozit.azit 🏠 23시간답글 달기 답글 보기(1개) 23시간 전",[]
https://www.instagram.com/p/DBV-_OuT5jz/,bluebelt.official,| 서울 서대문구 신촌로 93 지층 | 매일 11:00-23:00 | 0507-1376-3231  designed by. 몽당 27주 new_s2ound 난 검은 띤데 ㅋ 26주답글 달기 답글 보기(1개) zanchi_sinchon 나랑 가을옷 사러 갈래?🍂👖 26주답글 달기 답글 보기(3개) 2024년 10월 20일,[]
https://www.instagram.com/p/DIgNmoMSVW7/,hyundaioutlets_songdo,"#EVENT 봄날에 태어난 송현아의 9번째 생일을 축하해주세요! ℍ𝕒𝕡𝕡𝕪 𝕓𝕚𝕣𝕥𝕙𝕕𝕒𝕪 송현아 𝟡𝕚𝕗𝕥 𝕗𝕖𝕤𝕥𝕒  고객님들의 사랑 덕분에 벌써 송현아가 9주년을 맞이했습니다🙌 4월 18일 금요일부터 4월 27일까지, 총 10일간 펼쳐지는 송현아 𝟡𝕚𝕗𝕥 𝕗𝕖𝕤𝕥𝕒 에 놀러오세요🥰  댓글로 송현아 9주년을 축하해주시면 추첨을 통해 스타벅스 커피 기프티콘을 드립니다.  #체크리스트 🎂송현아하면? 슈퍼스테이지! 다가오는 5월에 만나요 🎂9일간 9품목을 9천원에 득템 할 찬스, 담당자피셜 역대급 경품 라인업(소근소근) 🎂스냅사진 촬영 이벤트 사전 응모는 4/17 카카오톡 채널 친구 추가하고 참여 가능 🎂어반스케쳐스ㅣ화려한 팝업 성지ㅣ빵지순례 가능한 월간 빵픽 등 다채로운 9주년 행사를 만나보세요  #이벤트참여안내 ✔️(@) 팔로우 + 댓글 작성 ✔️경품: 스타벅스 아메리카노 기프티콘 1개(5명) ✔️참여 기간: 4.16(수) ~ 4.29(화) ✔️당첨자 발표 : 4.30(수) 개별 DM 전송  *해당 이벤트는 인스타그램 한정 진행합니다. *비공개 계정은 참여 인정되지 않으며, DM 미확인으로 인한 당첨 취소는 책임지지 않습니다. 수정됨 · 1주 jyjy03 송현아 9주년 축하드려요 😍 6일답글 달기 poppyouy 송현아 9번째 생일 축하드려요 @jyjy03 6일답글 달기 sjjss0313 송현아 9번째 생일 축하드려요 @poppyouy 6일답글 달기 navi_jy 송현아 9주년 축하드려요 ❤️응원합니다 @sjjss0313 @poppyouy 6일답글 달기 num_p95 송현아 9주년 축하드립니다 @k__.o @soboseoul112 @kumpriyanak_ @navi_jy 6일답글 달기 hyerin.lim 송현아 9주년 축하드립니다 🎉 6일답글 달기 silvery_lifestory 송현아 9번째 생일을 진심으로 축하합니다 🎉 💕 앞으로도 많은사랑 받기를 응원할께요! 6일답글 달기 chdh2013zz 송현아 9번째생일 축하해요 ㅎㅎ 앞으로도 사랑 듬뿍 받아용😍, @yeasj8706 6일답글 달기 2024zzang 송현아의 9번째 생일 축하합니닷 ㅎㅎ 앞으로도 쭈욱 함께 하면 좋겠어요😍 @chdh2013zz 6일답글 달기 jung_song1027 송현아9주년 축하해 앞으로 함께 하자😍 6일답글 달기 4월 16일","['#EVENT', '#체크리스트', '#이벤트참여안내']"
https://www.instagram.com/p/DHILdhqR-Vr/,5minute_miman,"느좋력 좀 채우러 가볼까? 성수로 출동~ 약속장소 [성수역] 뚜벅이들의 고민을 해결해드려요!  1차 소문난성수감자탕 :  볶음밥 꼭 드세요 🚶‍♀걸어서 1분 이동 …. 2차 소파: 처음 먹어보는 맛인데 맛있어요 🚶‍♀걸어서 2분 이동 …. 3차 SLID : 실물로 잘 못 보던 브랜드 구경 🚶‍♀걸어서 1분 이동 …. 4차 무신사스토어 성수대림창고 : 진~짜 넓어요 🚶‍♀걸어서 4분 이동 …. 3차 뉴뉴 : 머리부터 발끝까지 꾸미고 올 수 있어요  📍 1차 감자탕 집_ #소문난성수감자탕 서울 성동구 연무장7길 4 해피드림 📍 2차 아이스크림 집_#소파 서울 성동구 성수일로4길 50 1층 📍 3차 옷가게_#SLID 서울 성동구 연무장길 57 1층 SILD 📍 4차 옷가게_#무신사스토어성수대림창고 서울 성동구 성수이로 74 📍 5차 옷가게_#뉴뉴 서울 성동구 연무장길 89 2-3F  📷 출처 : 네이버 업체 사진, 태그 된 인스타그램, , 직접 수급 6주  🕶️ 6주답글 달기 답글 보기(1개) 3월 13일","['#소문난성수감자탕', '#소파', '#SLID', '#무신사스토어성수대림창고', '#뉴뉴']"
https://www.instagram.com/p/DIvMtmsxnlK/,seconde_secon,"˚。˳✨༚。𝐝𝐚𝐢𝐥𝐲 𝐰𝐢𝐝𝐞 𝐬𝐥𝐚𝐜𝐤𝐬  ✔ 숏 / 미들 / 롱  총 3기장으로 나와서 키나 체형에 따라 내게 딱 맞는 길이로 고를 수 있는 슬랙스 팬츠 소개드려요 🖤  힙과 허벅지는 여유 있게 감싸주고, 밑단까지 일자로 쭉 떨어지는 와이드 라인이 군더더기 없이 깔끔하게 떨어져서 다리가 정말 길고 곧아 보여요.  허리선은 살짝 높게 잡혀 있어서 안정감 있게 착용되고 상의를 넣어 입었을 때 비율이 정말 예쁘게 살아난답니다 😎 5일  ❤️ 5일답글 달기 답글 보기(1개) 5일 전",[]
https://www.instagram.com/p/DIDOyyoPbWs/,_play9round,,[]
https://www.instagram.com/p/DIBPdD3T2ne/,echo_vtg,"#에코빈티지구매 ₩ 80,000 -size 가슴 52 총장 70  마르지엘라 스티치 반팔니트 컨디션 좋아요 :)  😺실측사이즈는 1~3cm 오차가 있을 수 있습니다 😺실측사이즈 잘 모르시면 편하게 문의 주세요  구매 전 공지 꼭 확인부탁드립니다 🙏자세한 내용은 메세지로 문의해주세요 3주  #빈티지#폴로#빈티지샵#의류쇼핑몰#vintage#쇼핑#좋반#옷가게#ootd#남녀공용#맞팔#좋아요#팔로우#코디#반팔 3주답글 달기 4월 4일","['#에코빈티지구매', '#빈티지', '#폴로', '#빈티지샵', '#의류쇼핑몰', '#vintage', '#쇼핑', '#좋반', '#옷가게', '#ootd', '#남녀공용', '#맞팔', '#좋아요', '#팔로우', '#코디', '#반팔']"
https://www.instagram.com/p/DGSRrSsPWGX/,judaju.jpg,"오늘도 필요한게 아닌것들을 잔뜩 사버렸습니다. 집앞에 무덤처럼 쌓인 택배 상자들을 보고 그제서야 번쩍 정신을 차렸습니다(💣)  사람들은 인터넷에서 두리번거리는것 같아요. 그 속에 멋진 사람들이 너무 많은것 같아서 말이죠. 유행하는 옷을 입고 설레는 음악에 밝은 표정에, 감각적인 가구를 곁들인 집에서, 건강하고 맛있어보이는 음식을 먹는 사람들.  이렇게 따라 해보면 나도 행복해질까? 하는 마음은 <영감을 얻는다>라는 말로 포장되어 적힙니다. 내가 원하는지도 몰랐던 물건을 보고 갖고 싶어지는 순간이, <영감>이라는 단어로 치환되는 순간. 그런 순간들이 소비로 이어지는것 같습니다.  대부분의 날들은 제 일상이 너무 밋밋한것 같아요. 가진 옷들도 너무 빨리 질리고, 내 방도, 내 취미도, 내가 하는 일도.. 전부 허전하고 시시한것 같은 기분이 문득 문득 찾아오죠. 그냥 가만히 있어도 완전한 나를 인식하지 못하는 것 같아요.  그럴때 인터넷에서 멍하니 남들의 삶을 들여다보고 있으면, 나와는 다른 모든 것들이 눈에 들어오고, 저는 그들과의 차이만큼 축소되는것 같아요. 그래서 큰 공백이 생겨버리면, 그 공백속을 채울 무언가를 찾으려 다시 부산해져요. 어느 정도 그 구멍을 메웠다고 생각할 즈음 (장바구니에 물건들을 일조일억팔천개정도 담는다던가🤫), 뭔가 잘못 끼워진듯한 현타가 옵니다. 이건 내가 아니지 않나? 나는 지금 뭐가 되고 싶은거지? 뭐 이런 비슷한 메타인지의 목소리가 들려요.  사실 장바구니에 들어있는 잡다한 물건들은, 인터넷에서 스친 수많은 사람들의 조각들이자 향기이자 매력이었던것 같아요. 그 물건들을 사고 싶던게 아니라 그냥 매력적인 그 사람들의 조각을 공유하고 나의 일부로 만들고 싶었던 거에요. 지겹게 익숙한 내 조각들을 다른 퍼즐으로 갈아 끼우고 싶은 마음이 들었던거에요. 쿨하고 힙해보이는 사람들의 빛나는 조각으로.  저는 꽤나 자주 <나만으로도 이미 완전한 자신>을 외면하고, 다른 누군가로 나를 채우고 싶어해요. 그래도, 그냥 이런 제 모습도 제 일부라고 생각하기로 했어요. 마음에 공백이 너무 커져서 소비로 그 구멍을 메우려 발악(?)할때마다, 어렴풋이 들려오는 메타인지의 목소리를 놓치지 않기로 약속했으니까 괜찮아요. 제 고유한 조각들을 전부다 잃어버리기 전에는 제자리로 돌아올거라고 믿고 있어요. 9주 highlight_kim 저는 그냥 막 돈이 쓰고 싶어요. 돈이 많은 것도 아닌데 쓰고 싶어요. 그래서 남들은 어디에 쓰나, 뭐 쓸 만한 거 없나 찾으려고 SNS 봐요. 그런 거 다 사진 못하지만 새로운 유행 템 같은 거 보는 거 자체로 재미있더라구요😂 8주좋아요 2개답글 달기 showdressy_ 글 너무 잘 쓰셧어여. 작가님 8주좋아요 1개답글 달기 showdressy_ 우리는 소비로 행복해지기도 하지만, 소비가 행복으로 이어지지 않는 경우가 허다해요.  근데 제가, 가져보지 못한 사람에게 이러한 소비적 포만감과 충만감이 사실 은 얼마가지 않는다는 것을 설명해줘도  상대는 이해를 아예 못하더라구요. 8주좋아요 2개답글 달기 vicki.rim 반성하고 갑니당😢👏😍 8주좋아요 1개답글 달기 luv__moooon 👏👏👏 8주좋아요 1개답글 달기 _ninaninano_ 소유나 존재냐 그 말이 떠오르네요 8주좋아요 1개답글 달기 lny.le 들었던 생각들을 주다주님의 이미지로 정리해주셔서 이해하기 쉽고 또 보는 게 늘 재밌어요 깔끔하고 비유해주시는 표현도 좋아해요 특히 장바구니 표현이랑 특정의 누군가가 되고 싶었구나 인지도 하게 되었어요 제가 되고 싶은 것은 무엇인지 생각해 보게 되네요 오늘도 감사합니다 😍 8주좋아요 5개답글 달기 miraedoraemememe 공허해서ㅜ간장게장시켯거든요 ㅠ 9주좋아요 1개답글 달기 thinker4ug 이런 피드 너무 좋아요 😍 9주좋아요 1개답글 달기 yimminn 주다주님 실제로 친구가 되고싶을 정도로 멋지십니다!.. 9주답글 달기 2월 20일",[]
